quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01.apx,outof time,143,1201.608,1200.49,1194.39,6.1,1439.6,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02.apx,outof time,143,1203.341,1200.95,1195.4,5.55,1159,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03.apx,outof time,143,1202.3,1200.83,1194.61,6.22,1522.7,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04.apx,complete,20,1167.804,1165.14,1161.27,3.87,1752.4,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,complete,20,1107.978,1105.14,1101.11,4.03,1725.9,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-bw2.pfile-4-02.pddl.2.cnf.apx,outof time,143,1200.625,1200.33,1199.19,1.14,289.9,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-grd_8034_1_2.apx,outof time,143,1201.588,1200.56,1195.2,5.36,1096.6,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,outof time,143,1207.649,1200.95,1182.84,18.11,3689.5,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,outof time,143,1203.113,1200.81,1185.12,15.69,3401.8,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,outof time,143,1205.708,1200.18,1182.55,17.63,3952.2,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-4-grd_7891_3_9.apx,outof time,143,1213.422,1200.07,1181.24,18.83,3101.9,outof time,8000,1600
