backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,add20n.sat.qdimacs.ch.aspq,complete,0,2.301,1.9,1.48,0.42,115.2,complete,2.301,2.301
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,Adder2-16-s.qdimacs.ch.aspq,outof time,143,1202.398,1200.48,1180.62,19.86,812.4,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,aim-100-2_0-yes1-2-00.qdimacs.ch.aspq,complete,0,2.324,1.95,1.55,0.4,101.2,complete,2.324,2.324
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,aim-100-2_0-yes1-4-00.qdimacs.ch.aspq,complete,0,5.852,5.42,4.05,1.37,94.7,complete,5.852,5.852
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,aim-200-3_4-yes1-2-90.qdimacs.ch.aspq,complete,0,10.782,9.78,8.98,0.8,158.6,complete,10.782,10.782
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,aim-50-2_0-yes1-4-90.qdimacs.ch.aspq,complete,0,1.4,1.02,0.82,0.2,72.6,complete,1.4,1.4
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,amba5b5y.unsat.qdimacs.ch.aspq,outof time,143,1200.989,1200.12,1197.49,2.63,439.9,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,amba6b5y.sat.qdimacs.ch.aspq,outof time,143,1200.587,1200.07,1197.2,2.87,522.7,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,amba7b5y.sat.qdimacs.ch.aspq,outof time,143,1201.25,1200.39,1195.85,4.54,614.5,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,amba7c5y.sat.qdimacs.ch.aspq,outof time,143,1201.695,1200.86,1195.37,5.49,737.7,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-05-comp-error01-qbf-hardness-depth-10.qdimacs.ch.aspq,complete,0,8.061,6.69,5.17,1.52,219.6,complete,8.061,8.061
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-05-comp-error02-qbf-hardness-depth-5.qdimacs.ch.aspq,complete,0,3.592,2.97,2.2,0.77,122.4,complete,3.592,3.592
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-06-comp-error02-qbf-hardness-depth-7.qdimacs.ch.aspq,complete,0,12.511,11.17,9.86,1.31,187.6,complete,12.511,12.511
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-07-comp-error02-qbf-hardness-depth-3.qdimacs.ch.aspq,complete,0,2.608,1.89,1.44,0.45,111.8,complete,2.608,2.608
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-08-comp-error02-qbf-hardness-depth-6.qdimacs.ch.aspq,complete,0,6.185,5.23,3.95,1.28,183.3,complete,6.185,6.185
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error01-qbf-hardness-depth-10.qdimacs.ch.aspq,complete,0,17.112,15.81,13.03,2.78,402.4,complete,17.112,17.112
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error01-qbf-hardness-depth-13.qdimacs.ch.aspq,complete,0,45.972,44.1,40,4.1,556.4,complete,45.972,45.972
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error01-qbf-hardness-depth-16.qdimacs.ch.aspq,complete,0,502.375,500.64,495.06,5.58,783.3,complete,502.375,502.375
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error01-qbf-hardness-depth-19.qdimacs.ch.aspq,outof time,143,1203.216,1200.47,1191.71,8.76,856.6,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error01-qbf-hardness-depth-20.qdimacs.ch.aspq,outof time,143,1202.339,1200.96,1191.72,9.24,865.4,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,arbiter-10-comp-error02-qbf-hardness-depth-9.qdimacs.ch.aspq,complete,0,58.284,56.33,54.29,2.04,350.1,complete,58.284,58.284
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,axquery_query52_1344n.qdimacs.ch.aspq,complete,0,41.014,39.66,39.21,0.45,100.8,complete,41.014,41.014
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,axquery_query60_1344.qdimacs.ch.aspq,complete,0,2.447,2,1.53,0.47,105.5,complete,2.447,2.447
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b01_PR_1_10.qdimacs.ch.aspq,complete,0,1.171,0.9,0.74,0.16,74.6,complete,1.171,1.171
