backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#20.asp.stunst,complete,10,1.502,1.24,1.23,0.01,15,complete,1.502,1.502
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#21.asp.stunst,complete,10,0.247,0.09,0.09,0,14.2,complete,0.247,0.247
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#22.asp.stunst,complete,10,2.986,2.72,2.69,0.03,15.3,complete,2.986,2.986
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#23.asp.stunst,complete,10,1.103,0.95,0.94,0.01,14.6,complete,1.103,1.103
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#24.asp.stunst,complete,10,0.243,0.08,0.08,0,14,complete,0.243,0.243
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#25.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#26.asp.stunst,complete,10,0.254,0.09,0.09,0,14,complete,0.254,0.254
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#27.asp.stunst,complete,10,0.431,0.23,0.22,0.01,14.5,complete,0.431,0.431
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#28.asp.stunst,complete,10,1.517,1.26,1.25,0.01,14.8,complete,1.517,1.517
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#29.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#2.asp.stunst,complete,10,0.387,0.23,0.23,0,14.3,complete,0.387,0.387
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#30.asp.stunst,complete,10,3.198,2.94,2.89,0.05,15.4,complete,3.198,3.198
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#31.asp.stunst,complete,10,4.199,3.94,3.9,0.04,15.2,complete,4.199,4.199
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#32.asp.stunst,complete,10,0.82,0.66,0.66,0,14.6,complete,0.82,0.82
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#3.asp.stunst,complete,10,0.138,0,0,0,0,complete,0.138,0.138
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#4.asp.stunst,complete,10,15.341,14.78,14.64,0.14,16.6,complete,15.341,15.341
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#5.asp.stunst,complete,10,1.26,1.06,1.05,0.01,14.5,complete,1.26,1.26
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#6.asp.stunst,complete,10,0.535,0.38,0.38,0,14.3,complete,0.535,0.535
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#7.asp.stunst,complete,10,13.772,13.17,13.03,0.14,16.2,complete,13.772,13.772
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#8.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#9.asp.stunst,complete,10,1.514,1.22,1.21,0.01,14.7,complete,1.514,1.514
